Detectado,Acuracia
person, 0.5339
person, 0.5001
person, 0.9735
person, 0.9726
person, 0.9719
person, 0.9648
person, 0.9644
person, 0.9443
person, 0.9414
person, 0.9245
person, 0.8942
person, 0.8847
person, 0.8793
person, 0.8654
person, 0.8460
person, 0.8168
person, 0.8122
person, 0.7681
person, 0.7624
person, 0.7050
person, 0.6992
person, 0.6718
person, 0.6349
person, 0.6255
person, 0.5066
person, 0.9799
person, 0.9784
person, 0.9708
person, 0.9634
person, 0.9577
person, 0.9375
person, 0.9356
person, 0.8848
person, 0.8832
person, 0.8585
person, 0.8467
person, 0.8404
person, 0.8297
person, 0.7974
person, 0.7957
person, 0.7943
person, 0.7887
person, 0.7821
person, 0.7554
person, 0.7230
person, 0.6652
person, 0.5613
person, 0.5010
person, 0.9764
person, 0.9608
person, 0.9549
person, 0.9457
person, 0.9407
person, 0.9346
person, 0.9222
person, 0.8830
person, 0.8743
person, 0.8700
person, 0.8669
person, 0.8337
person, 0.8266
person, 0.8019
person, 0.7838
person, 0.7659
person, 0.7544
person, 0.7215
person, 0.7125
person, 0.7051
person, 0.6839
person, 0.6368
person, 0.6105
person, 0.5156
person, 0.9743
person, 0.9565
person, 0.9473
person, 0.9427
person, 0.9285
person, 0.9143
person, 0.9115
person, 0.8939
person, 0.8744
person, 0.8707
person, 0.8656
person, 0.8171
person, 0.8001
person, 0.7998
person, 0.7983
person, 0.7708
person, 0.7681
person, 0.7625
person, 0.7010
person, 0.6939
person, 0.6923
person, 0.6116
person, 0.5891
person, 0.5582
person, 0.9744
person, 0.9727
person, 0.9634
person, 0.9434
person, 0.9413
person, 0.9238
person, 0.9237
person, 0.9079
person, 0.8986
person, 0.8747
person, 0.8729
person, 0.8726
person, 0.8258
person, 0.8173
person, 0.7922
person, 0.7535
person, 0.7008
person, 0.6743
person, 0.6687
person, 0.6420
person, 0.6364
person, 0.6344
person, 0.6032
person, 0.5655
person, 0.5230
person, 0.9757
person, 0.9634
person, 0.9603
person, 0.9384
person, 0.9347
person, 0.9252
person, 0.9105
person, 0.9025
person, 0.9024
person, 0.8724
person, 0.8707
person, 0.8541
person, 0.8539
person, 0.8227
person, 0.7805
person, 0.7726
person, 0.7299
person, 0.7251
person, 0.7141
person, 0.7110
person, 0.6433
person, 0.6111
person, 0.5875
person, 0.5714
person, 0.5491
person, 0.9823
person, 0.9746
person, 0.9673
person, 0.9600
person, 0.9582
person, 0.9268
person, 0.9161
person, 0.9026
person, 0.9021
person, 0.8558
person, 0.8399
person, 0.8345
person, 0.8247
person, 0.8016
person, 0.7575
person, 0.7460
person, 0.6642
person, 0.6448
person, 0.6239
person, 0.6104
person, 0.5924
person, 0.5847
person, 0.5658
person, 0.5582
person, 0.5077
person, 0.9873
person, 0.9725
person, 0.9676
person, 0.9668
person, 0.9627
person, 0.9324
person, 0.9089
person, 0.8909
person, 0.8907
person, 0.8892
person, 0.8752
person, 0.8344
person, 0.8343
person, 0.8303
person, 0.8278
person, 0.8185
person, 0.7653
person, 0.7643
person, 0.7470
person, 0.6117
person, 0.5959
person, 0.5735
person, 0.5703
person, 0.5656
person, 0.5392
person, 0.9908
person, 0.9733
person, 0.9692
person, 0.9634
person, 0.9578
person, 0.9567
person, 0.9363
person, 0.9091
person, 0.8852
person, 0.8849
person, 0.8744
person, 0.8684
person, 0.8521
person, 0.8426
person, 0.7966
person, 0.7711
person, 0.7258
person, 0.7235
person, 0.6961
person, 0.6716
person, 0.6237
person, 0.6069
person, 0.5715
person, 0.5245
person, 0.9922
person, 0.9754
person, 0.9476
person, 0.9462
person, 0.9384
person, 0.9365
person, 0.9251
person, 0.9212
person, 0.9177
person, 0.9011
person, 0.8745
person, 0.8556
person, 0.8115
person, 0.7794
person, 0.7693
person, 0.7611
person, 0.7355
person, 0.7229
person, 0.6833
person, 0.6404
person, 0.6238
person, 0.5939
person, 0.5903
person, 0.5547
person, 0.9902
person, 0.9701
person, 0.9688
person, 0.9681
person, 0.9615
person, 0.9590
person, 0.9376
person, 0.9098
person, 0.9054
person, 0.8980
person, 0.8771
person, 0.8329
person, 0.8323
person, 0.8184
person, 0.7724
person, 0.7554
person, 0.7445
person, 0.7047
person, 0.6250
person, 0.6106
person, 0.5866
person, 0.5863
person, 0.5142
person, 0.5036
person, 0.9871
person, 0.9835
person, 0.9792
person, 0.9625
person, 0.9606
person, 0.9550
person, 0.9314
person, 0.9292
person, 0.9093
person, 0.8852
person, 0.8783
person, 0.8649
person, 0.8446
person, 0.8409
person, 0.7849
person, 0.7732
person, 0.7726
person, 0.6617
person, 0.6254
person, 0.6029
person, 0.5910
person, 0.5545
person, 0.5183
person, 0.5086
person, 0.5068
person, 0.9755
person, 0.9633
person, 0.9606
person, 0.9553
person, 0.9429
person, 0.9366
person, 0.9360
person, 0.9279
person, 0.8939
person, 0.8740
person, 0.8609
person, 0.8063
