Detectado,Acuracia
car, 0.8643
car, 0.8618
car, 0.8240
person, 0.5156
car, 0.9955
car, 0.9748
car, 0.9424
car, 0.9419
car, 0.9402
car, 0.8666
car, 0.8527
car, 0.8419
person, 0.5180
car, 0.9908
car, 0.9505
car, 0.9434
car, 0.9341
car, 0.9086
car, 0.8849
car, 0.8580
car, 0.8539
person, 0.8012
car, 0.9904
car, 0.9519
car, 0.9440
car, 0.9374
car, 0.9061
car, 0.8850
car, 0.8579
car, 0.8559
person, 0.7991
car, 0.9904
car, 0.9535
car, 0.9432
car, 0.9380
car, 0.9056
car, 0.8883
car, 0.8545
car, 0.8522
person, 0.8020
car, 0.9922
car, 0.9760
car, 0.9699
car, 0.9697
car, 0.9035
car, 0.8181
person, 0.8115
car, 0.8015
car, 0.6727
car, 0.9924
car, 0.9762
car, 0.9706
car, 0.9697
car, 0.9047
car, 0.8177
person, 0.8095
car, 0.8008
car, 0.6703
car, 0.9919
car, 0.9776
car, 0.9714
car, 0.9707
car, 0.9031
car, 0.8145
person, 0.8107
car, 0.7977
car, 0.6591
car, 0.9869
car, 0.9708
car, 0.9540
car, 0.9536
car, 0.8859
car, 0.8751
person, 0.8593
car, 0.8232
car, 0.7317
car, 0.9870
car, 0.9703
car, 0.9575
car, 0.9513
car, 0.9011
car, 0.8808
person, 0.8630
car, 0.8226
car, 0.7494
car, 0.9931
car, 0.9712
car, 0.9284
car, 0.9153
car, 0.8417
car, 0.8258
person, 0.7962
car, 0.7581
car, 0.6302
